idx,path,jurisdiction,jur_ok,jur_suggest,practice,prac_ok,prac_suggest,note,ft_read,ft_jur_check,ft_prac_check,ft_note,applied
1,ae/data-protection/skills/arckit-uae-data-sharing/SKILL.md,ae,ok,,data-protection,ok,,,,,,,
2,ae/data-protection/skills/arckit-uae-pdpl/SKILL.md,ae,ok,,data-protection,ok,,,,,,,
3,ae/data-protection/skills/uae-pdp-law/SKILL.md,ae,ok,,data-protection,ok,,,,,,,
4,ae/real-estate/skills/real-estate-compliance-rera-guardian/SKILL.md,ae,ok,,real-estate,ok,,"RERA/DLD-комплаенс брокериджа; есть AML+data-protection, но ядро — недвижимость",,,,,
5,ar/general/skills/ley-ar/SKILL.md,ar,ok,,general,ok,,CLI-поиск по базам права — legal research = general,,,,,
6,ar/litigation/skills/jurisrank-argentine-supreme-court-analysis-adrian-lerer/SKILL.md,ar,ok,,litigation,ok,,анализ авторитетности прецедентов CSJN — case-law research,,,,,
7,at/cybersecurity/skills/arckit-at-nisg/SKILL.md,at,ok,,cybersecurity,ok,,NISG/NIS2,,,,,
8,at/data-protection/skills/arckit-at-dsgvo/SKILL.md,at,ok,,data-protection,ok,,,,,,,
9,at/data-protection/skills/transparenz-check/SKILL.md,at,ok,,data-protection,maybe,regulatory,"Impressum(ECG)+Datenschutz+Vereinsrecht — шире чем data-protection, скорее regulatory",yes,,подтв: regulatory,"полный текст: Impressum(ECG/UGB)+DSGVO+Vereinsrecht — три блока, шире data-protection",перемещён → at/regulatory/skills/transparenz-check
10,at/government-contracts/skills/arckit-at-bvergg/SKILL.md,at,ok,,government-contracts,ok,,,,,,,
11,at/litigation/skills/ris-rechtsprechung/SKILL.md,at,ok,,litigation,ok,,поиск судебной практики RIS — case-law research,,,,,
12,at/regulatory/skills/legal-impressum/SKILL.md,at,ok,,regulatory,ok,,Impressum/раскрытие на сайте — residual regulatory,,,,,
13,at/trusts-and-estates/skills/recht-erbe-verfahren/SKILL.md,at,ok,,trusts-and-estates,ok,,наследственное производство,,,,,
14,au/cybersecurity/skills/au-apra-cps-234-expert/SKILL.md,au,ok,,cybersecurity,ok,,APRA CPS 234 — инфобез,,,,,
15,au/cybersecurity/skills/ism/SKILL.md,au,ok,,cybersecurity,ok,,,,,,,
16,au/data-protection/skills/arckit-au-pia/SKILL.md,au,ok,,data-protection,ok,,PIA по Privacy Act 1988,,,,,
17,au/data-protection/skills/australia-privacy-act/SKILL.md,au,ok,,data-protection,ok,,,,,,,
18,au/insurance/skills/australian-insurance-legislation-analysis/SKILL.md,au,ok,,insurance,ok,,,,,,,
19,az/data-protection/skills/azerbaijan-eu-website-privacy-compliance-audit-mirza-chiragov/SKILL.md,az,ok,,data-protection,ok,,AZ+EU privacy/cookie аудит; основная юр-ция AZ,,,,,
20,br/contracts/skills/contract-and-proposal-writer-ricardonevesbraga/SKILL.md,br,ok,,contracts,ok,,шаблоны NDA/MSA/услуг; есть уклон в commercial,,,,,
21,br/criminal/skills/advogado-criminal/SKILL.md,br,ok,,criminal,ok,,,,,,,
22,br/criminal/skills/analise-processo-penal/SKILL.md,br,ok,,criminal,ok,,,,,,,
23,br/criminal/skills/representacoes-cautelares/SKILL.md,br,ok,,criminal,ok,,,,,,,
24,br/data-protection/skills/brazil-lgpd/SKILL.md,br,ok,,data-protection,ok,,,,,,,
